title,price,link
Apple iPhone 13 Pro 256GB Blue Gold Gray Silver AT&T Locked Very Good Condition,"C $1,167.05",https://www.ebay.ca/itm/294771218085?epid=21049288313&hash=item44a1bbd6a5:g:0oYAAOSwqkBh8VGA
Apple iPhone 13 mini 256GB Verizon Locked Excellent Condition,C $811.84,https://www.ebay.ca/itm/304273365153?epid=6049292497&hash=item46d81b18a1:g:YZgAAOSwNTRhwkNA
Apple iPhone 13 mini 128GB AT&T Locked Excellent Condition,C $716.70,https://www.ebay.ca/itm/294672834579?epid=3049291542&hash=item449bdea013:g:2WYAAOSwWAFhzHIJ
Apple iPhone 12 Unlocked 64GB 128GB 256GB | Verizon AT&T T-Mobile | Very Good,"C $1,052.91",https://www.ebay.ca/itm/403357497490?epid=13041717142&hash=item5de9faf892:g:ZikAAOSwYExhtmzO
iPhone 13 Pro Max - TMobile - 128GB - Blue - Excellent,"C $1,367.55",https://www.ebay.ca/itm/284646862600?epid=14049280195&hash=item4246466f08:g:-NMAAOSwV71iBFDn
Apple iPhone 13 128GB Midnight Unlocked - NEW & SEALED,"C $1,014.87",https://www.ebay.ca/itm/294808051127?epid=3049291507&hash=item44a3edddb7:g:2PMAAOSwBmFiBsht
Apple iPhone 13 Pro Max - Sierra Blue - 512GB - New - (Unlocked),"C $1,430.73",https://www.ebay.ca/itm/373922630718?hash=item570f868c3e:g:LMgAAOSwnhFiCDSS
Apple iPhone 13 - 128GB - Midnight (Unlocked) Open Box,"C $1,050.00",https://www.ebay.ca/itm/175114783772?epid=11049276145&hash=item28c5a78c1c:g:HFIAAOSwAU1hsm2-
Apple iPhone 13 mini RED 128GB Unlocked Perfect Condition Warranty December 2022,C $837.00,https://www.ebay.ca/itm/134020519740?epid=25049270760&hash=item1f343ed73c:g:ZjEAAOSwOvxiBRHa
iPhone 13 Pro 1TB Graphite GSM CDMA Factory Unlocked MLU93LL/A AppleCare+ SEALED,"C $1,268.60",https://www.ebay.ca/itm/334324005700?epid=4051432434&hash=item4dd7437b44:g:wJcAAOSwHnhhsPbE
Apple iPhone 13 Pro 128GB Graphite Unlocked - NEW & SEALED,"C $1,395.45",https://www.ebay.ca/itm/294719603078?epid=27049276479&hash=item449ea84186:g:dA0AAOSwKdRh32BM
New ListingApple iPhone 13 Pro Max - 256GB - Sierra Blue (Unlocked),"C $1,509.63",https://www.ebay.ca/itm/224834154763?epid=28049285628&_trkparms=ispr%3D1&hash=item345928f10b:g:jEcAAOSwe65iBvbI&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSvtkx670Z0mbyfWqmxLFLYUN1h5oud67VRrE2wVxirGGfmpPtSPqXlAm2%252FxtRiq91wPbJCGB1rr4saAYZA8%252FXqx2DatQqSmTcSaj%252BncwqW1SGEX3rb7lQxA6L%252BmmxajC7ZofQns7ndJcHj97ICPKfnG%252BKkzHURo2g4ZD1ZTh7QH607R2PxP%252FlA32K9BOXuVQLZxeslRgKDXQyMgH9pM6y32U0sgd1rIWvaup2mwWupaDz1IJhADLkjushhtCxSfiDrXKXo9UO5gL5YwEYEW8IonZClqZ0j2VCl4l8vX%252FwUBcrq9%252FKNquwDI8I%252Bc2BxwkH%252FgHT9BjRT%252B3Cvuw0rsxEL9LwM6Ywl1B4xO%252B2TPiKHk2%252FI6h%252F7PSXRgsScVeloRuAr%252BO53Oj%252B0aL8b0FPhGcTNA7F%252BN34KJQ1IQGI97ObPjiK2oZikk4bP6wBOcThbOyWbC6V1iQQQ1S6p1opJON3%252B18nF70ph2k5GPXZyaqoczJa%252Bakvw1CxVtGbUKekl%252BSvjUq12nriBFjNCzGeTUIMwDUeGDGA5PemYKQxjz47ZpN465B5DsgGR3VC0HcYjEbYFRJZcAipP57yvhBnHm%252Fdvg5aBG%252BSv0K3VSFbQL8vz3Foa4DIiQJfhjlVAuZ5fdkS0%252B8wCNmdocZA2KCdOg4ho%252F38l9MKTF7HiqxcR9BzWV6es1L7qsvy%252FjIi4ACRZKbQRALpJA%252F3UJuZQ5wqCYn2MlKh%252FlC3SyvVl3f9Zfa45T2dQJrI86CuQPwsmeGNH2d%252BaeL7U9OreaNBgFyLsA5vdMCo6rwAM%252BgTkf4D8muYFfJSW4GcIP7Go8BpbB9opQRw%7Cclp%3A2334524%7Ctkp%3ABFBMjtqSh95f
Apple iPhone 12 Pro 128/256/512GB AT&T Sprint TMobile Unlocked Verizon Very Good,"C $824.58 to C $1,002.18",https://www.ebay.ca/itm/294362288227?epid=15041716810&_trkparms=ispr%3D1&hash=item44895c1063:g:Q3kAAOSwBIJh7v5-&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsS%252Fwocn770hnih0B3mVHNZ5DYt0QwfPw5OUZ51r83EgikK9OkTCtDIcfDdgOgQrJsZCtdy7IfvEPI6RWb67scW%252FeeH4M2jRp5FO%252BvGaXJ2by7Aw7IjweEzB2dfSxoSsnu%252FEuhY6Y7PRUst3H%252BlSrrx4mHYd8TKqPGXF9kiTbBdiH3YQ%252FVOD5sWAbq6isGw8ZRkmTXfzGCZaa%252BbNFRMVMY8rl7yO5mZ8fsecqg2NtA7yQ%252Fp%252F0MaTRzyrpkg42Et0Y6NmB%252F%252F1sfLVpMmsKd4KE0gbOMc99ucjbo4xpSkPAxIWaqqRiK%252BMm9ic%252FxvFtXa4jdCJXn90VreiP50XS7TeXC%252FcbeZKFQJTGHAC%252BXpfogVyBRButhIwBjpVL8ywQnIrOA8ibF%252FaUydLkirgTo5BxhePHOmPSl3gMoc%252B8BCY8uYQHlDfSqPA%252BphSt7FmMT%252FuCqdEkXOOnKTgiOFw7LR8IbKxnwhWcAf0F70tVZR1v2GlZeat5yvr3qGoQinFZf1VMFmONBig6QyHtlVbPj%252FafV7Of8ZFca%252FzbShvXIM%252BqkjtNxUBtwB%252FlLWlVfcLIIAwLYrhZJLH6hfoCDQAIPC8u0beTO4mX6demBcG0eZ9zRDOwstaHDdIznx8rT8upJ9ft9IaLToXOrOn%252FsdoAz7fswNXD%252FM7HkUoKNaW8KkS4EFHQql8BNmypBOYuMj9uUYNn8e9d0nO3eSpd5sZ6dE1Hs76TDKus%252FR0x34sdph3zXEGUDtKyZcWjqbWe8%252B22YqMsDqvlL%252FCb63LGEq7VdmMIiNkfrlUJRiPBzpevdF2BQbZ%252BRWaQjhs5%252FdKs3ZvxAag7c7%7Cclp%3A2334524%7Ctkp%3ABFBMjtqSh95f
NEW*  Apple iPhone 13 | 128GB Blue | Unlocked Verizon AT&T T-Mobile Mint Metro,"C $1,027.55",https://www.ebay.ca/itm/233227935792?epid=22049282568&_trkparms=ispr%3D1&hash=item364d77e030:g:v2wAAOSwAa5h1kR8&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSRAQR8FABHjfpFoyRlXhWmcBZ8E3pyGwn2rmyIKSWvckBItJd28nLjsdYsQEoWnpyPrc%252FMT7UiqWnN1cnUwfO8JI9Wjk2e5wMn02jG8yJ7ckEe%252FIudHWcJrxP8TOgaeGyRT%252B%252Fpzhln6B7qJbDFq7uiQFzdG24CD8Ewx16UZT1SDt%252Fbv7qm1FLs1oQswiH2OySUSkCQ3NgPlWwaTJbRDLxLQn4sGFDWC9hJVFQM4VoVIKslyBA0yxoRRmypzaSbJFImscFQRxk6R4eWJvzDYQGSZwHesL5u8LPjnCgc2R1hxf8b8e4HTvJwPLQA7J1XkJDUuGSIFfmFLMvAto8vucsOtIFjJJk9FnqdOF0FGtlqC0wgN9SHuc7clgSCYWFhyNkJ0uNkFOZBjNUW05n7to7WN66%252BR0%252F8H3qP95EPZBowMpk5GkC3RdpYllahAklOOptHWQ8zS%252B5QKBgR7bK%252B5Q3RPY3MNqI8Vcoepp9yeqMhXWWc4ygvZU94%252BOyFX17%252Fi5qR5rvuTyngC2UaTsN2hyM7zir8n%252BaY8gKMT7AHu5GP0Os5sGwtwa%252FgXJ7Xdp8efIImKWz32e3Lo4KK%252Bw2xlBFcUEuVFye5nbFHc0qcMHyPkPAlDsQ2rJqwJ4Vtwh2IfySqlvEhLPaHTr8mw2xPS56Hu6phPmAFYE94BO94L65kjhDlmkRGtieQq8Sk1uIpQBAoA4%252F6MSsefyZobKR0bvVVHxLwwA5%252FGAiMAgiLb3vP95caFG1SKJJDUVLcvi6UIezIDGee5snhwBAyBcv5DS9a%252BAT6tYWcN%252B0so8z5otBDYU5rgSqPj2WOFapX%252F7a4jrn%7Cclp%3A2334524%7Ctkp%3ABFBMjtqSh95f
Apple iPhone 13 Pro - 256GB - Graphite (Unlocked) (CA),"C $1,500.00",https://www.ebay.ca/itm/175122282681?epid=5049289895&hash=item28c619f8b9:g:tHcAAOSwuZxh6ENg
Apple iPhone 13 PRO MAX - 256 Go - Or (Déverrouillé) + ACCESSOIRES ,"C $1,316.45",https://www.ebay.ca/itm/304353962630?epid=15049284936&hash=item46dce8ea86:g:HQ4AAOSws7hh-A7Y
Iphone 13 pro max 128 gb sierra blue,"C $1,103.68",https://www.ebay.ca/itm/234415187610?hash=item36943be69a:g:EkcAAOSwqh5iARxE
New ListingBrand new original Apple iPhone 13 Pro Max - 1TB - Sierra Blue (Unlocked),"C $1,154.43",https://www.ebay.ca/itm/393926957280?epid=25049270823&hash=item5bb7e058e0:g:o1YAAOSwIIxiBcbB
New Apple iPhone 13 Pro Max - 256GB - Sierra Blue (Verizon) Factory Unlocked!!,"C $1,255.91",https://www.ebay.ca/itm/284648288966?epid=27049276493&hash=item42465c32c6:g:b-8AAOSw6k9iBZqR
Apple iPhone 13 - 128GB 256GB 512GB (UNLOCKED)  ✅APPLE WARRANTY✅ ⚫⚪🔴🔵 ✤SEALED✤,"C $1,191.15 to C $1,268.54",https://www.ebay.ca/itm/325007885561?hash=item4babfac4f9:g:6psAAOSwcCth6eT3
Apple iPhone 13 Pro - 128GB - Sierra Blue (Unlocked) (CA),"C $1,250.00",https://www.ebay.ca/itm/265533536395?epid=17049280598&hash=item3dd308388b:g:J~oAAOSwDgNh~TUV
Apple iPhone 13 Pro Max - 512GB - Sierra Blue (Unlocked),"C $1,680.89",https://www.ebay.ca/itm/353904453587?epid=20049285656&hash=item52665967d3:g:mwgAAOSw71hiBX~i
