title,price,link,image
New ListingMSI RTX 3060 VENTUS 3X 12G OC Gaming GeForce RTX 3060 12GB GDRR6 - SHIPS FAST, 999.99,https://www.ebay.ca/itm/363726020329?_trkparms=ispr%3D1&hash=item54afc29ee9:g:jh0AAOSwSvRiCE~O&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsS5%252FLJbfonbQUYd49AU1AJY8PkqiQXuqQcdAClU5C23hUS38JOcj14IeWoNRAduaHxcRrHqjygK73X7f%252BDB7rr26xdSWmdN1%252Fq%252BKnxC4T2HHTCUVvOzcHCvzg0F9MbNhRYPCwenTeBZB7XbzgOMqqMXOqo2vQf8HMAt4EjdZRlLyGc5Oqt9rwmYIOhQNfHyaeYjw8NgQE%252FarXCXRlfg8RqsVWsSDP5G1yIkOw1VB6fIop%252Fp1JQbhu66fOp4x4idxgPHNAMhflNBci9u39HqnQPDanBqU7pnf44mcho4U93pGnyPaAfuxvfi9pXc6W%252BsLM%252BhTgxn%252Fo1RRDM%252FLP0EPldSTrMU0vwPJnt5WlhA%252BWyYr0USMimk7mIzC1exjhFn%252FU1z0Kwvuytr0TjCuuBDlHKHHb5rfv4BUGa6xX1apOMYadhlgJ%252Bf47i%252Fmsua3Q%252B9Rz0hKtnAiwXuYydIOAnsptLH7J6sIeOlzkx5rHkjGHoo0refll6h7BMYc3eC%252FsvYJuWbqXy2j9Yhp6SvnbeNo1Doq9SydiVOSq1PowF6MseBaXqirkfzowKz6W4mX0%252FZSWgXJ4GjpquU0p%252FD3Ff533vDcKkLLYSejbHlDT%252B0gP21Oy%252BFkKoglMqx26w1Bh7uiUUyDUsCT1J%252F7YqfzPQc5aiZnM6ITIHHhNj01sMHU53tnbrap7VbWwTi0CH2FOARSfLV6AUgMnxm2pI78k1UrYQih4Adj%252FeY7fAo%252FQgXs5XAGasmrq0WHJeR%252BPDBFqqZ3dbGkvCY1rq9o%252BmFXHPp1D5Ojk2U6mlsQMeai07bx7D7MGbF%252B55hzudJpQ58LsN94hu%7Cclp%3A2334524%7Ctkp%3ABFBM1oahkN5f,https://i.ebayimg.com/thumbs/images/g/jh0AAOSwSvRiCE~O/s-l225.jpg
New ListingMSI Gaming GeForce RTX 3060 12GB GDRR6 Graphics Card VENTUS 2X - NEW SHIPS FAST, 999.99,https://www.ebay.ca/itm/363726024247?_trkparms=ispr%3D1&hash=item54afc2ae37:g:Lm4AAOSwNXpiCFFu&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsS5%252FLJbfonbQUYd49AU1AJY4ySkK%252B4EyOqYP0JxI8BPNjsZovNJ7ap8enF5BZi3zZ5wmvBM9zLoUILz%252F0qWMmEgjvsZT4RCqVIiN6O17%252FY%252FMZwJjWMl8fQwBCEGf6hv8BYDwVGFQlB1SnKX%252FFigT1ONiagx3y5j5L5vruA3d9uox%252BKssmla4XUOuaBLTejXeWZ9z3y%252Fy2irTzO1%252FQsbvHIlcElL1c55uIReK28Z1ewhGHNwFfkVh0Au4Xd7ZbM%252B2Mr5bNnptVk39rIR3ztK1xtnZNbwwlezGjIq7jO%252BNEMuNBX%252F43Qn3DmHlNlNJX64rnq%252FpWS7aQiXIYFv%252B%252Fc%252FQJ1%252F6C9oztmCYoKXoumUX6bfgfrKUhAAcbTW%252BHPTm3%252FUBeCFIdlE30kXs6AhdCpYFp2ct03pedB7JpaCTcWutV%252F4h6OpW6dxU3EoxPVg3fqU7bcV9rL0dLDKo68Q29tZyEN%252FlqorLd4tyKH%252B9Pbab%252Bswtv9dXfQwqZmdI%252B%252BM%252FWGX0rbPpgFeGO66u7fWfaFECbaEbwkXi5pxQ2bVw4y52RUkG1sWUn7RHVTxz%252BYy%252BiKPmbH7y8m1JbXtyoSMULBvXZJ1KyAG3mfLNpwMqNmLJ%252F8gvre4jDWanRCFtQElMuUKaoO7Ff2B406tjngZdVMptLNmBiKSpNXZBaRUWA7cz7UeA%252BbX2QsYttbb98A2%252FIkqdTBNNUVz78u6M03N2%252FVCfDmvZtG%252F%252Bv2JmPoLWok%252FPIXd67goiq4ORFWxbdAyDP5vP0oAOpl%252FWH87WLQDtQXyD4a%252FdTGGJKq0SuDKNcv4Ls0HtJ10EkQHEnQk4f8X6N691Fz%7Cclp%3A2334524%7Ctkp%3ABFBM1oahkN5f,https://i.ebayimg.com/thumbs/images/g/Lm4AAOSwNXpiCFFu/s-l225.jpg
ASUS TUF Gaming GeForce RTX 3060 Ti 8GB GDDR6 OC V2 LHR Graphics Card Brand NEW," 1,100.00",https://www.ebay.ca/itm/363724752056?_trkparms=ispr%3D1&hash=item54afaf44b8:g:L7AAAOSwshpiBxn4&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsS5%252FLJbfonbQUYd49AU1AJYylM318tHHwuC%252B13vgdqFsedSoTpFRyfmT8QphB6kU0%252Bb4u4GRr68WOtaGlDuPmP4hmZYhU5PObsJJX8BYojTn0X9pdup7pqGoNrWNLkoxOvVNLuh9mAXjI2PZCOpSww4gveSLTmY3YlHoThK1G%252BEQws%252BVYlTxoXw4MqU0evLC6JUeD0wlfXXDRGLEJsQAhaWw4nOLxb41AofLgM1Q0eBIHxiQOF8e6Ia2I4pbHSpb3dJgiWxLorVHG8aWbpFAbluCfk8tbRqXMQjehGu6XFj2H%252BNVlZQIGn%252BWdLwffmX6EWxoBGC5X4hfdHzV2NXVzlOARCVuwlhFDBF%252BemuPvEz%252BQwCnOPQ07Lc2JKzE7TT9yUseP3rB200QMfF4KS0pFyX6shT12ixU8URfYoLSh62%252FqoImfBGCM%252F4wmyeyrwGB1c0t2qK8DFLbvUV3JLUGyZvn32YQziA%252F1k5%252F%252BvN%252FU87FOHhC1TG6wIr0rB9GH4XbQWb216O6%252FFb0v2nysQlqjWvU1mRa0vGwY8%252BFhCncZZmBDSuoBV3HgK5obuPCLpBNPvr1FfP8tJFdCY3u9YR1cP059V6VVjAXgcavZRwH9wSqyZbjQ%252B18ZPuvm8zfls6mWZm2n4tGgCIbTygbmXXvon1qTVwCuDThiX1MPuuEFgLNAnKzwHlg3xu8cZYoS7%252B6Z9XzUkzswGYKwZT3D79%252BlwHJxJwtqkyJheeZfVahYQrZPMOoX7e0E5BjeIrRjTGuuaen%252B44mYIKOpCDNDpUJFhjvmagGWSTRZrAuaVAak3TeKnVadpDwAg%252FV8eGwq9wi5w%7Cclp%3A2334524%7Ctkp%3ABFBM2IahkN5f,https://i.ebayimg.com/thumbs/images/g/L7AAAOSwshpiBxn4/s-l225.jpg
"New ListingASUS ROG Strix NVIDIA GeForce RTX 3060 Ti V2, 8GB GDDR6 Gaming Graphics Card", 899.00,https://www.ebay.ca/itm/144410998417?epid=15049216500&hash=item219f90f691:g:AYYAAOSwbiNiCF8m,https://i.ebayimg.com/thumbs/images/g/AYYAAOSwbiNiCF8m/s-l225.jpg
"NVIDIA GeForce RTX 3060 12GB GDDR6 192-bit GPU, 1x HDMI, 3x DisplayPort. LHR"," 1,000.92",https://www.ebay.ca/itm/265287549827?epid=11051301031&hash=item3dc45ec383:g:cTkAAOSwdRdhKTCD,https://i.ebayimg.com/thumbs/images/g/cTkAAOSwdRdhKTCD/s-l225.jpg
EVGA GeForce RTX 3060 Ti XC GAMING 8GB GDDR6 Graphics Card (08G-P5-3663-KL), 890.00,https://www.ebay.ca/itm/185290101490?epid=7048188903&hash=item2b242692f2:g:V~wAAOSw2lhiBZiA,https://i.ebayimg.com/thumbs/images/g/V~wAAOSw2lhiBZiA/s-l225.jpg
EVGA GeForce RTX 3060 XC BLACK GAMING - NON LHR USED, 899.78,https://www.ebay.ca/itm/165322552360?hash=item267dfdf428:g:nXQAAOSwn8RiAVQj,https://i.ebayimg.com/thumbs/images/g/nXQAAOSwn8RiAVQj/s-l225.jpg
"EVGA GeForce RTX 3060 Ti XC GAMING, 08G-P5-3663-RL, 8GB GDDR6, Dual-Fan"," 1,030.00",https://www.ebay.ca/itm/325036145899?hash=item4bada9fceb:g:3SoAAOSwyDliAK5m,https://i.ebayimg.com/thumbs/images/g/3SoAAOSwyDliAK5m/s-l225.jpg
MSI GeForce RTX 3060 VENTUS 3X OC LHR 12 GB OC, 800.00,https://www.ebay.ca/itm/154839522469?hash=item240d279ca5:g:heYAAOSwSsBiBQNo,https://i.ebayimg.com/thumbs/images/g/heYAAOSwSsBiBQNo/s-l225.jpg
ZOTAC GAMING GeForce RTX 3060 12G Twin Edge OC Graphics Card, 849.99,https://www.ebay.ca/itm/125141328868?hash=item1d230123e4:g:0WoAAOSwJd1iBHCm,https://i.ebayimg.com/thumbs/images/g/0WoAAOSwJd1iBHCm/s-l225.jpg
